price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000.0,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000.0,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000.0,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000.0,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000.0,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000.0,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000.0,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
10150000.0,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
9870000.0,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000.0,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9800000.0,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
9681000.0,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
9310000.0,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9240000.0,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
9240000.0,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
9100000.0,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
9100000.0,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
8960000.0,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
8890000.0,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
8855000.0,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8750000.0,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
8680000.0,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000.0,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
8645000.0,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
8575000.0,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
8540000.0,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8463000.0,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
8400000.0,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
8400000.0,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
8400000.0,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
